1	2	3
2	0	8
3	2	4
4	4	5
5	1	3
6	0	4
7	1	3
8	0	6
9	0	3
10	6	3
11	0	3
12	2	1
13	0	1
14	0	2
15	0	2
16	2	4
17	1	2
18	0	8
19	0	3
20	0	3
21	1	5
22	3	4
23	1	6
24	0	5
25	2	3
26	2	4
27	0	1
28	1	2
29	2	6
30	2	2
31	2	1
32	0	4
33	2	4
34	3	2
35	2	3
36	2	8
37	2	4
38	1	2
39	1	8
40	0	3
41	0	5
42	1	4
43	0	1
44	1	4
45	0	2
46	0	5
47	0	2
48	3	2
49	2	4
50	2	3
51	1	5
52	1	2
53	2	2
54	0	4
55	1	4
56	2	7
57	1	1
58	2	3
59	0	5
60	1	5
61	0	4
62	1	3
63	1	6
64	1	5
65	0	7
66	1	5
67	2	3
68	0	6
69	2	7
70	0	12
71	3	5
72	0	5
73	0	2
74	1	3
75	3	4
76	3	2
77	5	5
78	1	2
79	3	1
80	2	2
81	4	2
82	1	7
83	3	3
84	0	6
85	2	7
86	1	5
87	0	9
88	1	2
89	0	5
90	3	7
91	2	1
92	1	3
93	1	2
94	0	5
95	0	4
96	3	5
97	1	7
98	0	3
99	2	3
100	1	0
101	1	5
102	2	6
103	2	6
104	1	2
105	1	3
106	2	5
107	0	4
108	2	4
109	2	7
110	2	4
111	2	7
112	0	3
113	0	5
114	1	7
115	2	4
116	2	6
117	1	3
118	5	1
119	1	3
120	1	3
121	2	0
122	3	2
123	0	5
124	0	3
125	2	4
126	1	1
127	1	4
128	3	4
129	0	3
130	0	7
131	1	8
132	2	7
133	0	6
134	2	7
135	0	2
136	1	9
137	0	9
138	2	9
139	2	3
140	1	1
141	0	5
142	1	7
143	0	6
144	0	7
145	0	5
146	2	2
147	1	5
148	1	2
149	1	1
150	1	5
151	1	5
152	1	6
153	0	2
154	0	1
155	3	2
156	2	4
157	0	6
158	0	9
159	0	6
160	3	5
161	0	2
162	2	5
163	3	6
164	1	5
165	2	8
166	1	7
167	1	8
168	0	5
169	1	4
170	1	3
171	0	2
172	1	7
173	1	4
174	0	5
175	0	2
176	2	1
177	1	5
178	0	10
179	2	4
180	0	5
181	2	4
182	1	10
183	0	7
184	1	4
185	1	3
186	3	3
187	1	7
188	0	4
189	1	4
190	0	6
191	1	10
192	1	6
193	0	3
194	0	7
195	2	4
196	2	1
197	1	0
198	2	5
199	0	1
200	0	3
201	3	1
202	2	1
203	1	2
204	2	5
205	1	4
206	1	7
207	0	3
208	0	4
209	0	4
210	1	6
211	0	1
212	2	4
213	0	4
214	2	5
215	5	1
216	0	3
217	2	12
218	1	2
219	1	3
220	0	5
222	0	3
223	1	2
224	1	6
225	2	2
226	1	2
227	0	7
228	0	4
229	2	6
230	1	7
231	1	1
232	1	6
233	0	4
234	2	6
235	0	7
236	1	9
237	1	5
238	2	3
239	0	3
240	0	5
241	0	6
242	2	5
243	3	7
244	0	4
245	2	5
246	2	2
247	1	5
248	0	7
249	2	6
250	0	7
251	1	4
252	0	7
253	0	3
254	0	5
255	1	1
256	2	3
257	0	3
258	0	8
259	0	5
260	4	1
261	3	7
262	0	1
263	0	3
264	0	5
265	0	7
266	4	3
267	1	5
268	1	6
269	0	4
270	2	8
271	0	4
272	1	3
273	1	4
274	1	4
275	1	6
276	1	6
277	1	8
278	1	10
279	0	5
280	4	5
281	0	5
282	2	6
283	0	10
284	3	11
285	2	6
286	0	12
287	1	4
288	0	5
289	2	4
290	0	3
291	0	3
292	0	5
293	0	8
294	0	6
295	0	5
296	1	9
297	0	9
298	0	3
299	0	4
300	0	8
301	0	7
302	0	5
303	0	8
